Price,Close,High,Low,Open,Volume,Stock Name
Ticker,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,
Date,,,,,,
2022-07-18,536.8604736328125,540.2218737029546,532.0238927892736,532.0238927892736,496846,Cdsl
2022-07-19,535.8206176757812,541.3826858610628,532.023913374757,535.4095200962327,589294,Cdsl
2022-07-20,543.4624633789062,554.1512961218328,539.6415523874624,541.7938074252746,1207490,Cdsl
2022-07-21,546.21923828125,550.354538461996,542.3016196596601,544.7924705680507,559774,Cdsl
2022-07-22,552.6519165039062,563.2198337358899,547.5251526678254,548.419908307093,1125146,Cdsl
2022-07-25,548.37158203125,560.0760845340646,547.5493278301226,552.8212129727425,540172,Cdsl
2022-07-26,547.1624145507812,558.2381374523782,544.1153450026491,548.3715597618983,743022,Cdsl
2022-07-27,542.54345703125,548.7343041374498,540.7297392118899,547.0172943190049,464082,Cdsl
2022-07-28,538.4807739257812,550.4755193151075,536.0141292401577,546.5094871755932,719554,Cdsl
2022-07-29,545.0585327148438,555.2395604666997,540.0526826319369,545.566397392367,1169590,Cdsl
2022-08-01,561.8171997070312,568.1531085866861,532.0238745408045,535.4578350138731,2827922,Cdsl
2022-08-02,570.4505004882812,580.341343677038,557.3433782904649,563.4616648282032,2280606,Cdsl
2022-08-03,561.5753784179688,573.7151842782191,557.6819663429455,572.3609770939776,904764,Cdsl
2022-08-04,550.0159301757812,566.3635964564828,544.4297149261112,562.9779899874859,1111484,Cdsl
2022-08-05,557.7303466796875,560.8257703103008,544.2362739576811,552.8212051842964,1032032,Cdsl
2022-08-08,565.3720703125,568.2498712175551,550.2819623313943,557.6577478076006,941746,Cdsl
2022-08-10,561.5028686523438,573.5459676023859,557.8996392882311,566.7021934224769,733704,Cdsl
2022-08-11,562.4218139648438,570.0877830988669,561.0676066989373,570.0877830988669,714922,Cdsl
2022-08-12,582.3969116210938,588.4184313365142,557.6335815322757,562.4218085196305,3100892,Cdsl
2022-08-16,591.9249267578125,596.9066285756933,583.775299954248,588.2249306542693,1694312,Cdsl
2022-08-17,592.6263427734375,601.6707263786034,591.1269553066525,594.4158542759675,1299160,Cdsl
2022-08-18,598.43017578125,599.7360290024766,586.6772606290356,592.6504262066062,1125942,Cdsl
2022-08-19,587.6929931640625,601.7674332074457,579.0113531810964,599.2040804937342,1876244,Cdsl
2022-08-22,570.305419921875,582.8563231094337,568.346581139867,582.8079691109267,1011428,Cdsl
2022-08-23,581.16357421875,587.5478967064715,561.0434086144298,565.8074291984843,1309638,Cdsl
2022-08-24,576.8831787109375,586.5563403745039,572.0708043994306,582.6145151885419,669350,Cdsl
2022-08-25,576.9556884765625,585.2987896774441,574.7066667795716,580.8733067976145,497338,Cdsl
2022-08-26,575.9884643554688,584.742664480492,573.7636488214189,579.9060833019932,482716,Cdsl
2022-08-29,574.295654296875,580.8733928154519,558.6251196518292,558.6251196518292,654466,Cdsl
2022-08-30,604.0406494140625,620.7752088776559,577.7538418980081,577.7538418980081,6575042,Cdsl
2022-09-01,610.8118286132812,617.9699330962361,598.8170840716982,601.1870205787403,2120448,Cdsl
2022-09-02,603.84716796875,615.6484380054341,602.1543645343162,615.2131338856628,803414,Cdsl
2022-09-05,626.3856201171875,631.1738473186992,600.2197276034527,605.5399669295108,2385302,Cdsl
2022-09-06,640.6051635742188,649.0208264552803,627.3045656140142,633.4954130079734,4464668,Cdsl
2022-09-07,685.6358642578125,703.4671174440826,641.3389366962394,643.2957297906597,8360578,Cdsl
2022-09-08,694.9795532226562,710.2669995781831,687.8861781136917,695.1262768777169,4925486,Cdsl
2022-09-09,678.8848876953125,698.5751177293506,673.1368081201585,698.5751177293506,2353400,Cdsl
2022-09-12,683.3366088867188,692.1910858556136,679.5453221977881,680.9640091601893,1439820,Cdsl
2022-09-13,683.9481201171875,690.2587900274464,680.5482158743467,686.7854940974863,1245750,Cdsl
2022-09-14,675.1670532226562,680.1079441644748,668.2693690590013,669.7124801734695,1158046,Cdsl
2022-09-15,664.6981201171875,680.8171785178487,660.9313174905532,675.1669745778971,1211100,Cdsl
2022-09-16,652.6638793945312,662.8391675109019,648.1877033113659,660.9068582442682,1754108,Cdsl
2022-09-19,641.3389282226562,654.4494656686857,637.7188491024913,652.6883041337076,1004564,Cdsl
2022-09-20,658.9745483398438,668.1470158306553,646.2798175026095,649.1660992163686,1235076,Cdsl
2022-09-21,648.1387939453125,664.5513599239258,646.1086092000419,659.4392619357611,677480,Cdsl
2022-09-22,645.105712890625,653.0796683079093,642.5863896588089,644.7388142005643,610280,Cdsl
2022-09-23,638.5994262695312,649.4596038522109,636.4469419629269,646.6956217151271,599164,Cdsl
2022-09-26,613.185546875,635.1994689973611,609.0763291854278,631.5549657770712,1150198,Cdsl
2022-09-27,613.5035400390625,622.1623852702485,610.9108250313562,616.3898217827912,604750,Cdsl
2022-09-28,602.3253784179688,613.4301554166847,600.8332997868267,609.002946840803,735880,Cdsl
2022-09-29,600.0261840820312,613.8460357191597,599.2679028489341,613.8460357191597,576596,Cdsl
2022-09-30,609.4921264648438,612.2316247882582,592.5413947461268,595.4031926350202,816456,Cdsl
2022-10-03,601.4937744140625,614.0906302361773,600.2462949023248,609.0518640206964,580262,Cdsl
2022-10-04,614.5553588867188,616.267552921428,608.0000897819426,612.9654644259173,487942,Cdsl
2022-10-06,622.0155639648438,630.8456161090979,616.9767981915904,617.6372635907725,694192,Cdsl
2022-10-07,620.7191772460938,623.8011500564712,615.4113882651834,622.0155645303504,478378,Cdsl
2022-10-10,612.2561645507812,615.8761842465792,609.5655738643102,612.9654782087603,448334,Cdsl
2022-10-11,603.8907470703125,617.8573807919495,601.7138387760078,612.476200119969,453264,Cdsl
2022-10-12,602.5944213867188,610.1525103766699,595.1830560401498,606.3367401834118,563292,Cdsl
2022-10-13,596.8463745117188,602.0318642417968,591.9299080007804,592.4191062718554,390426,Cdsl
2022-10-14,591.7587280273438,611.4978672384843,588.0163491365265,611.4978672384843,505934,Cdsl
2022-10-17,589.5573120117188,597.4823001659987,588.0163255048903,589.9731186014125,530084,Cdsl
2022-10-18,593.7888793945312,599.2678760892849,591.0248972472106,596.8218847583082,551668,Cdsl
2022-10-19,600.2217407226562,606.5568935921663,594.424753676103,596.7729290523025,694136,Cdsl
2022-10-20,593.7398681640625,604.4533213497864,591.4406603685343,594.9139558599712,625708,Cdsl
2022-10-21,588.3342895507812,601.7138497960183,587.0379022400178,596.8218672773514,630774,Cdsl
2022-10-24,599.0477294921875,600.0750338542663,594.2290790483778,596.3326553698673,281958,Cdsl
2022-10-25,602.2030639648438,610.079144084755,594.0823847125341,599.0477590435385,843986,Cdsl
2022-10-27,598.436279296875,606.1166683996466,596.8952927728806,603.6217691171059,454910,Cdsl
2022-10-28,597.80029296875,602.2275612509387,596.8218964172463,599.2678877960055,379344,Cdsl
2022-10-31,598.5585327148438,604.1598286975117,597.3599611923366,600.246242762629,409038,Cdsl
2022-11-01,605.3583984375,607.5597907365494,598.7053136548018,601.5671117002483,589742,Cdsl
2022-11-02,601.3958740234375,609.5655208637962,600.5153529780151,608.3914330866482,508952,Cdsl
2022-11-03,596.3082275390625,604.6245984109087,594.7673007096082,601.2246942058184,413106,Cdsl
2022-11-04,595.085205078125,603.9152576406716,591.4896097766798,597.8002793332529,612398,Cdsl
2022-11-07,603.4260864257812,611.4978581534062,593.2997057813959,598.0693890749925,955312,Cdsl
2022-11-09,596.5773315429688,606.2389980439722,594.767321705366,604.1599052526169,516782,Cdsl
2022-11-10,590.2421875,596.3326819814291,587.7472285880076,594.375888931449,419174,Cdsl
2022-11-11,593.3241577148438,598.1183250344271,591.9299544761312,594.3759460235533,368420,Cdsl
2022-11-14,614.5553588867188,623.2141448327558,593.006150077528,596.2838144882105,1634420,Cdsl
2022-11-15,611.5467529296875,624.9507976364,609.223061118515,617.2948326731142,1218182,Cdsl
2022-11-16,598.2161254882812,617.02583583616,591.9299393157254,611.4978711939312,748808,Cdsl
2022-11-17,597.28662109375,602.1296960497264,595.3543117581626,597.775819377857,314596,Cdsl
2022-11-18,596.112548828125,599.2189457587803,592.0276956851475,599.1700378773099,431326,Cdsl
2022-11-21,597.0910034179688,604.9915081164777,593.7155232359339,595.3298417810192,574738,Cdsl
2022-11-22,594.6449584960938,599.0232589603753,592.9082808166394,595.403179955967,361930,Cdsl
2022-11-23,594.15576171875,598.7786613202509,593.372996741143,595.8434718039751,349136,Cdsl
2022-11-24,594.4982299804688,600.2463099658795,593.2018425510796,596.7730140031193,412406,Cdsl
2022-11-25,595.8189697265625,600.2217538659104,594.3758588119645,595.8434535250805,371304,Cdsl
2022-11-28,599.5858764648438,605.1137811310314,594.8651011774782,595.2564836833085,452918,Cdsl
2022-11-29,603.8907470703125,610.0302089054323,599.7815296031569,601.2246405331006,704640,Cdsl
2022-11-30,605.6275024414062,610.9597759167206,601.811731770406,606.5080832782802,522918,Cdsl
2022-12-01,608.2935791015625,616.3898345451194,606.6547768022401,607.095067198804,837232,Cdsl
2022-12-02,605.0648803710938,608.9540425250945,602.7900964269177,608.9540425250945,405050,Cdsl
2022-12-05,603.6217651367188,608.0979413086767,601.7138799156203,606.1166644028077,359358,Cdsl
2022-12-06,600.270751953125,604.5512367504697,598.2894751031487,599.2678716282561,508090,Cdsl
2022-12-07,597.5311889648438,601.4203509499126,595.8434788596337,599.3656824342391,367532,Cdsl
2022-12-08,601.5181274414062,603.1814133550445,595.3542417299992,598.093739855449,456100,Cdsl
2022-12-09,592.0277709960938,603.3772076203625,590.9515586005105,602.6923180429047,632392,Cdsl
2022-12-12,581.265380859375,593.5443056391465,578.2323753659182,590.9515308308199,720130,Cdsl
2022-12-13,586.89111328125,597.9959493226784,583.12431066443,584.0048913960263,792100,Cdsl
2022-12-14,587.35595703125,594.3514569650551,585.5214633869075,590.4134464384873,509722,Cdsl
2022-12-15,583.1732788085938,589.9486632891615,582.1459743266292,587.9185381267558,458474,Cdsl
2022-12-16,588.138671875,593.7889362774661,582.145992540029,582.1949004280168,564502,Cdsl
2022-12-19,585.692626953125,593.8866979503811,583.638018112089,588.9947152654521,550126,Cdsl
2022-12-20,581.0941772460938,589.9731381592205,579.33307534416,585.5703535460921,415280,Cdsl
2022-12-21,568.1304321289062,583.9559851451066,563.7032233565834,580.678380431162,566138,Cdsl
2022-12-22,550.7638549804688,571.7015646195015,548.8804536026004,568.9375824775617,914216,Cdsl
2022-12-23,532.0765380859375,549.1250867421419,530.4866436254368,547.9020910032953,939630,Cdsl
2022-12-26,545.0157470703125,548.3912268685738,526.1571907541569,531.7584867137731,583860,Cdsl
2022-12-27,543.8172607421875,554.5796225229415,541.5669606768014,547.9020542929295,425158,Cdsl
2022-12-28,547.143798828125,548.8559928283053,543.8172863148701,544.9668903431022,428342,Cdsl
2022-12-29,547.2171630859375,549.3696473787347,540.8086778069379,543.7683511741072,371958,Cdsl
2022-12-30,545.6029052734375,551.8156999948995,544.6000248398244,548.8805101013097,439494,Cdsl
